ID	adj.P.Val	P.Value	logFC	Gene.symbol	Gene.title
1445950_at	0.485132	2.62e-01	0.29783333	C87926	cDNA sequence, C87926
1455961_at	0.485222	2.62e-01	-0.40375	Mme	membrane metallo endopeptidase
1418950_at	0.485222	2.62e-01	0.18442667	Drd2	dopamine receptor D2
1437995_x_at	0.485247	2.62e-01	-1.29072333	Sept7	septin 7
1426552_a_at	0.485247	2.62e-01	0.21429333	Bcl11a	B cell CLL/lymphoma 11A (zinc finger protein)
1442538_at	0.485247	2.62e-01	-0.32640333		
1428711_at	0.485255	2.63e-01	0.17434667	Mon1b	MON1 homolog B, secretory traffciking associated
1444792_at	0.485308	2.63e-01	0.17061333		
1447558_at	0.485324	2.63e-01	0.2429		
1430094_at	0.485365	2.63e-01	0.22133	Mgat4e	MGAT4 family, member E
1457812_at	0.485365	2.63e-01	-0.35617333	Trp53bp1	transformation related protein 53 binding protein 1
1425583_at	0.485365	2.63e-01	0.29209333		
1424555_at	0.485369	2.63e-01	0.25193	9430015G10Rik	RIKEN cDNA 9430015G10 gene
1417258_at	0.485425	2.63e-01	0.85428667	Cct5	chaperonin containing Tcp1, subunit 5 (epsilon)
1424679_at	0.485425	2.63e-01	0.22270667	Mab21l1	mab-21-like 1 (C. elegans)
1429567_at	0.485445	2.63e-01	0.27179333	Rassf10	Ras association (RalGDS/AF-6) domain family (N-terminal) member 10
1421966_at	0.485461	2.63e-01	1.36605	Ncam1	neural cell adhesion molecule 1
1445959_at	0.485504	2.63e-01	-0.30013667		
1434300_at	0.485535	2.63e-01	0.72678333	U2surp	U2 snRNP-associated SURP domain containing
1452063_at	0.485602	2.63e-01	-0.28429	Zbtb8a	zinc finger and BTB domain containing 8a
1424768_at	0.485602	2.63e-01	1.40193667	Cald1	caldesmon 1
1442592_at	0.485649	2.63e-01	0.36459667		
1427137_at	0.485649	2.63e-01	0.26834667	Ces2e	carboxylesterase 2E
1447016_at	0.485649	2.63e-01	-0.86741333	Tbc1d1	TBC1 domain family, member 1
1450738_at	0.485649	2.63e-01	-1.19974333	Kif21a	kinesin family member 21A
1432092_a_at	0.485649	2.63e-01	0.25163333	Gulp1	GULP, engulfment adaptor PTB domain containing 1
1418779_at	0.48565	2.63e-01	0.29183333	Rce1	Ras converting CAAX endopeptidase 1
1417373_a_at	0.485671	2.63e-01	-0.53893333	Tuba4a	tubulin, alpha 4A
1460121_at	0.485671	2.63e-01	-0.44344333	9630010G10Rik	RIKEN cDNA 9630010G10 gene
1426442_at	0.485671	2.63e-01	0.99808333	Gpm6a	glycoprotein m6a
1451269_at	0.485673	2.63e-01	-0.19927	Pdzd11	PDZ domain containing 11
1420740_at	0.485867	2.63e-01	0.27931667	Il25	interleukin 25
1421479_at	0.485884	2.63e-01	0.30742667	Zfp318	zinc finger protein 318
1421121_at	0.485884	2.63e-01	-0.32709333	Akap10	A kinase (PRKA) anchor protein 10
1447716_x_at	0.485884	2.63e-01	0.30679333	Tmem229b	transmembrane protein 229B
1460391_at	0.485884	2.63e-01	-0.28714333	Ola1	Obg-like ATPase 1
1451500_at	0.485884	2.63e-01	-0.22177667	Ushbp1	Usher syndrome 1C binding protein 1
1445775_at	0.485934	2.63e-01	0.20361333		
1440623_at	0.485952	2.63e-01	0.21299	Gpr26	G protein-coupled receptor 26
1440036_x_at	0.485952	2.63e-01	-0.21179		
1443583_at	0.485952	2.63e-01	0.20087333	Ppp4r1l-ps	protein phosphatase 4, regulatory subunit 1-like, pseudogene
1423535_at	0.485952	2.63e-01	-1.17645333	Strn3	striatin, calmodulin binding protein 3
1444610_at	0.485952	2.63e-01	0.2312		
1446247_at	0.485952	2.63e-01	0.19887667	Adamts18	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 18
1435582_at	0.485952	2.63e-01	0.18833	Wdfy4	WD repeat and FYVE domain containing 4
1459277_at	0.485952	2.63e-01	0.24058667		
1458750_at	0.485952	2.63e-01	0.26464	Gm17250	predicted gene, 17250
1425507_at	0.485952	2.63e-01	-0.47902333	Arfrp1	ADP-ribosylation factor related protein 1
1424386_at	0.485952	2.63e-01	0.24704	Reep2	receptor accessory protein 2
1450338_x_at	0.485981	2.63e-01	0.20844667	Vmn2r125///Vmn2r-ps159///Vmn2r122///Vmn2r123	vomeronasal 2, receptor 125///vomeronasal 2, receptor, pseudogene 159///vomeronasal 2, receptor, 122///vomeronasal 2, receptor 123
1456017_x_at	0.486047	2.63e-01	1.65043	Obox2	oocyte specific homeobox 2
1429499_at	0.486137	2.63e-01	0.41819667	Fbxo5	F-box protein 5
1445410_at	0.486153	2.63e-01	0.35680667	Naa35	N(alpha)-acetyltransferase 35, NatC auxiliary subunit
1427729_at	0.486153	2.63e-01	-0.32012	Ehd2	EH-domain containing 2
1437587_at	0.486185	2.64e-01	0.27858		
1445113_at	0.486195	2.64e-01	0.21670333		
1431700_at	0.486195	2.64e-01	0.30813667	Grin2b	glutamate receptor, ionotropic, NMDA2B (epsilon 2)
1434654_at	0.486195	2.64e-01	-0.59743667	Cog3	component of oligomeric golgi complex 3
1456912_at	0.48621	2.64e-01	-0.39045	Zfp691	zinc finger protein 691
1449347_a_at	0.48621	2.64e-01	-0.27189667	Xlr4a///Xlr4c///Xlr4b	X-linked lymphocyte-regulated 4A///X-linked lymphocyte-regulated 4C///X-linked lymphocyte-regulated 4B
1422633_at	0.486225	2.64e-01	0.26045	1700020D05Rik	RIKEN cDNA 1700020D05 gene
1437752_at	0.486238	2.64e-01	0.22003667	Lin28a	lin-28 homolog A (C. elegans)
1430606_at	0.486266	2.64e-01	0.26712333	Klrg2	killer cell lectin-like receptor subfamily G, member 2
1422121_at	0.486276	2.64e-01	0.21244	Oprd1	opioid receptor, delta 1
1435248_a_at	0.486297	2.64e-01	-0.33482	Btaf1	B-TFIID TATA-box binding protein associated factor 1
1455788_x_at	0.486297	2.64e-01	1.23465	Poldip3	polymerase (DNA-directed), delta interacting protein 3
1435894_at	0.486298	2.64e-01	0.32824667		
1438808_at	0.486322	2.64e-01	0.27883667	Trp53	transformation related protein 53
1441225_at	0.486322	2.64e-01	0.23523667		
1428180_at	0.486322	2.64e-01	0.21057	Kxd1///Uba52	KxDL motif containing 1///ubiquitin A-52 residue ribosomal protein fusion product 1
1426169_a_at	0.486322	2.64e-01	0.22572333	Lat2	linker for activation of T cells family, member 2
1454400_at	0.486343	2.64e-01	-0.72641333	4632432E15Rik	RIKEN cDNA 4632432E15 gene
1453159_at	0.486351	2.64e-01	0.21856333	Efhc1	EF-hand domain (C-terminal) containing 1
1416710_at	0.486352	2.64e-01	-0.20430667	Tmem35	transmembrane protein 35
1439294_at	0.486387	2.64e-01	0.28530667	Gm5112	predicted gene 5112
1440412_at	0.486408	2.64e-01	0.19442		
1444767_at	0.486421	2.64e-01	0.58569333		
1459394_at	0.486427	2.64e-01	0.19055667	D130052B06Rik	RIKEN cDNA D130052B06 gene
1448703_at	0.486441	2.64e-01	-0.47178	Lsm8	LSM8 homolog, U6 small nuclear RNA associated
1458316_at	0.486441	2.64e-01	0.26713333		
1430717_at	0.486457	2.64e-01	0.18368333	Fam83e	family with sequence similarity 83, member E
1433279_at	0.486457	2.64e-01	0.19486	5830440H09Rik	RIKEN cDNA 5830440H09 gene
1438982_s_at	0.486457	2.64e-01	0.24421667	Flywch2	FLYWCH family member 2
1449039_a_at	0.486457	2.64e-01	-1.34946	Hnrnpdl	heterogeneous nuclear ribonucleoprotein D-like
1418054_at	0.48651	2.64e-01	0.24112667	Neurod4	neurogenic differentiation 4
1449695_at	0.486538	2.64e-01	0.16921333		
1423975_s_at	0.486538	2.64e-01	-0.6045	Numa1	nuclear mitotic apparatus protein 1
1435977_at	0.486538	2.64e-01	-0.40734	Hdgfrp3	hepatoma-derived growth factor, related protein 3
1427521_a_at	0.486557	2.64e-01	0.30838667	Plekhs1	pleckstrin homology domain containing, family S member 1
1420829_a_at	0.486557	2.64e-01	1.48975	Ywhaq	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, theta polypeptide
1439575_at	0.486557	2.64e-01	0.28235667	Tmem232	transmembrane protein 232
1442653_at	0.486611	2.64e-01	0.25165667		
1459860_x_at	0.486666	2.64e-01	1.15479333	Trim2	tripartite motif-containing 2
1451771_at	0.486727	2.64e-01	0.27809333	Tpcn1	two pore channel 1
1454044_a_at	0.486727	2.64e-01	-0.32079333	Pex3	peroxisomal biogenesis factor 3
1418369_at	0.486747	2.64e-01	0.5171	Prim1	DNA primase, p49 subunit
1429948_x_at	0.486763	2.64e-01	0.38666	Crygf	crystallin, gamma F
1452343_at	0.486795	2.64e-01	0.27823667	Ldlrad4	low density lipoprotein receptor class A domain containing 4
1434487_at	0.486795	2.64e-01	-0.20701667	Mef2d	myocyte enhancer factor 2D
1428804_at	0.486864	2.64e-01	-0.40232667	Mfap3l	microfibrillar-associated protein 3-like
1420600_at	0.486864	2.64e-01	0.29795	Tpo	thyroid peroxidase
1452533_at	0.486864	2.64e-01	0.26097333	Ryr3	ryanodine receptor 3
1437908_a_at	0.486864	2.64e-01	0.39861333	Ergic1	endoplasmic reticulum-golgi intermediate compartment (ERGIC) 1
1454001_at	0.486864	2.64e-01	0.22081333	Gm9828	predicted gene 9828
1423033_at	0.486864	2.64e-01	0.76865	Stt3a	STT3, subunit of the oligosaccharyltransferase complex, homolog A (S. cerevisiae)
1458513_at	0.486889	2.64e-01	-0.25570333	Mapk10	mitogen-activated protein kinase 10
1422015_a_at	0.486899	2.64e-01	0.21890333	Abcb8	ATP-binding cassette, sub-family B (MDR/TAP), member 8
1447418_at	0.486957	2.65e-01	0.35055		
1417266_at	0.486984	2.65e-01	0.25716	Ccl6	chemokine (C-C motif) ligand 6
1459501_at	0.486984	2.65e-01	0.21928	AU022194	expressed sequence AU022194
1445377_at	0.487001	2.65e-01	-0.35333667		
1435064_a_at	0.48708	2.65e-01	0.18780667	Tmem27	transmembrane protein 27
1424387_at	0.48708	2.65e-01	0.28377333	Prl8a8	prolactin family 8, subfamily a, member 81
1438550_x_at	0.487118	2.65e-01	1.55646333	Srr	serine racemase
1431778_at	0.48713	2.65e-01	0.31962667	Cars2	cysteinyl-tRNA synthetase 2 (mitochondrial)(putative)
1441395_at	0.48713	2.65e-01	-0.50132333	AU021933	expressed sequence AU021933
1456890_at	0.487203	2.65e-01	0.32671667	Ddx58	DEAD (Asp-Glu-Ala-Asp) box polypeptide 58
1436301_at	0.487255	2.65e-01	-0.27072	Dstyk	dual serine/threonine and tyrosine protein kinase
1421616_at	0.487287	2.65e-01	0.34558	Grin2a	glutamate receptor, ionotropic, NMDA2A (epsilon 1)
1416413_at	0.487301	2.65e-01	0.17463667	Ctsj	cathepsin J
1441232_at	0.487301	2.65e-01	0.22148		
1422575_at	0.48731	2.65e-01	0.21983333	Mxd4	Max dimerization protein 4
1450222_x_at	0.48731	2.65e-01	0.28504333	Klk1b4	kallikrein 1-related pepidase b4
1429887_at	0.48731	2.65e-01	0.25105667	Nos1	nitric oxide synthase 1, neuronal
1424567_at	0.48731	2.65e-01	0.27058	Tspan2	tetraspanin 2
1445693_at	0.487323	2.65e-01	-0.36462	Araf	Araf proto-oncogene, serine/threonine kinase
1448197_at	0.487323	2.65e-01	0.22434333	Ceacam11	carcinoembryonic antigen-related cell adhesion molecule 11
1424815_at	0.487324	2.65e-01	0.23037	Gys2	glycogen synthase 2
1440290_at	0.487324	2.65e-01	-0.22636667	Gm10010	predicted gene 10010
1454097_at	0.487356	2.65e-01	0.21462	Zcwpw2	zinc finger, CW type with PWWP domain 2
1451621_at	0.487356	2.65e-01	0.67531667	Desi2	desumoylating isopeptidase 2
1457470_at	0.487356	2.65e-01	0.26953667		
1448715_x_at	0.487356	2.65e-01	-0.88146667	BC094435///Sgip1///Cog6///Noct	cDNA sequence BC094435///SH3-domain GRB2-like (endophilin) interacting protein 1///component of oligomeric golgi complex 6///nocturnin
AFFX-GapdhMur/M32599_5_at	0.487356	2.65e-01	-0.70450333	Gapdh	glyceraldehyde-3-phosphate dehydrogenase
1438104_at	0.487356	2.65e-01	0.28176		
1442781_at	0.487356	2.65e-01	0.28033		
1452606_at	0.487356	2.65e-01	0.32856667	Mnd1	meiotic nuclear divisions 1
1423282_at	0.487356	2.65e-01	-0.22735667	Pitpna	phosphatidylinositol transfer protein, alpha
1418393_a_at	0.487356	2.65e-01	-0.37352333	Itga7	integrin alpha 7
1432132_at	0.487356	2.65e-01	0.25191333	4933401D09Rik	RIKEN cDNA 4933401D09 gene
1422145_at	0.487356	2.65e-01	0.21766333	Mgat3	mannoside acetylglucosaminyltransferase 3
1426129_at	0.487356	2.65e-01	0.24630333	Brms1	breast cancer metastasis-suppressor 1
1431774_a_at	0.487356	2.65e-01	0.31412333	Lyrm1	LYR motif containing 1
1459560_at	0.487356	2.65e-01	-0.25435333	Spopl	speckle-type POZ protein-like
1444881_at	0.487356	2.65e-01	0.31951333	Taok3	TAO kinase 3
1422892_s_at	0.487389	2.65e-01	0.21639	H2-Ea-ps	histocompatibility 2, class II antigen E alpha, pseudogene
1434279_at	0.487395	2.65e-01	-0.61385		
1445536_at	0.487395	2.65e-01	0.25025333	AW061096	expressed sequence AW061096
1455050_at	0.487446	2.65e-01	-0.29382	Vstm4	V-set and transmembrane domain containing 4
1458064_at	0.487446	2.65e-01	-0.20096		
1432694_at	0.487446	2.65e-01	-0.21535333	4921527H02Rik	RIKEN cDNA 4921527H02 gene
1420092_at	0.487446	2.65e-01	-0.97381333	Morc3	microrchidia 3
1424523_at	0.487504	2.65e-01	0.65206333	Elmo1	engulfment and cell motility 1
1456833_at	0.487506	2.65e-01	0.19655667	Gpr17	G protein-coupled receptor 17
1424945_at	0.487506	2.65e-01	0.24310667	Chrdl1	chordin-like 1
1456528_x_at	0.487506	2.65e-01	0.23166667	Ncl	nucleolin
1448475_at	0.487606	2.65e-01	0.28671333	Olfml3	olfactomedin-like 3
1453883_at	0.487639	2.65e-01	0.21512333	4933425B07Rik	RIKEN cDNA 4933425B07 gene
1441475_at	0.487642	2.65e-01	0.33286667		
1426079_at	0.487642	2.65e-01	-0.75432333	Cd247	CD247 antigen
1422684_a_at	0.487642	2.65e-01	-0.81073333	Exoc4	exocyst complex component 4
1456672_at	0.487696	2.66e-01	0.53173		
1432733_at	0.487696	2.66e-01	0.23452333	4933402E15Rik	RIKEN cDNA 4933402E15 gene
1443234_at	0.487805	2.66e-01	0.23816667	Cep44	centrosomal protein 44
1431454_at	0.487805	2.66e-01	0.33372667	4930523O13Rik	RIKEN cDNA 4930523O13 gene
1430006_x_at	0.487805	2.66e-01	0.27900333	1700024B05Rik///Gm7995	RIKEN cDNA 1700024B05 gene///predicted gene 7995
1445324_s_at	0.487805	2.66e-01	0.24280333	Greb1	gene regulated by estrogen in breast cancer protein
1437569_at	0.487863	2.66e-01	0.27447333	Tmem132e	transmembrane protein 132E
1446315_at	0.487918	2.66e-01	0.20748	Acly	ATP citrate lyase
1456421_at	0.487923	2.66e-01	0.30379	4930578M01Rik	RIKEN cDNA 4930578M01 gene
1454442_at	0.487924	2.66e-01	0.26564	Bnip2	BCL2/adenovirus E1B interacting protein 2
1445847_at	0.487924	2.66e-01	0.26621333		
1430491_at	0.487924	2.66e-01	0.24239	Bop1	block of proliferation 1
1449311_at	0.487924	2.66e-01	0.76446333	Bach1	BTB and CNC homology 1, basic leucine zipper transcription factor 1
1452793_at	0.487924	2.66e-01	0.27421	Dzip1	DAZ interacting protein 1
1434326_x_at	0.488004	2.66e-01	0.55007	Coro2b	coronin, actin binding protein, 2B
1449029_at	0.488004	2.66e-01	0.21668667	Mknk2	MAP kinase-interacting serine/threonine kinase 2
1437952_at	0.488004	2.66e-01	0.25709667	AU040096	expressed sequence AU040096
1430235_at	0.488004	2.66e-01	0.21680667	4933424G06Rik	RIKEN cDNA 4933424G06 gene
1419267_at	0.488004	2.66e-01	-0.95398	Nfyb	nuclear transcription factor-Y beta
1444130_at	0.488004	2.66e-01	-0.57512667		
1436907_at	0.488004	2.66e-01	0.88847333	Nav1	neuron navigator 1
1431498_at	0.488004	2.66e-01	-0.23388	9530097N15Rik	RIKEN cDNA 9530097N15 gene
1442434_at	0.488075	2.66e-01	0.19182	D8Ertd82e	DNA segment, Chr 8, ERATO Doi 82, expressed
1422599_s_at	0.488156	2.66e-01	0.77644333	Zfp143	zinc finger protein 143
1430399_at	0.488159	2.66e-01	0.25569333	Pot1b	protection of telomeres 1B
1441934_at	0.488159	2.66e-01	0.40038		
1442732_at	0.488215	2.66e-01	-0.22148	Hadhb	hydroxyacyl-Coenzyme A dehydrogenase/3-ketoacyl-Coenzyme A thiolase/enoyl-Coenzyme A hydratase (trifunctional protein), beta subunit
1443914_at	0.488237	2.66e-01	0.30005333	Lipk	lipase, family member K
1433371_at	0.488237	2.66e-01	0.26201333	5430427N15Rik	RIKEN cDNA 5430427N15 gene
1427752_a_at	0.488237	2.66e-01	0.22375	Tcrb-J	T cell receptor beta, joining region
1426807_at	0.488237	2.66e-01	1.15644333	Lta4h	leukotriene A4 hydrolase
1423564_a_at	0.488237	2.66e-01	-1.15506333	Paics	phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoribosylaminoimidazole, succinocarboxamide synthetase
1448376_at	0.488237	2.66e-01	-0.81980667	Wrnip1	Werner helicase interacting protein 1
1445280_at	0.488237	2.66e-01	0.25638667	Ap3d1	adaptor-related protein complex 3, delta 1 subunit
1458337_at	0.488237	2.66e-01	-0.37012		
1419704_at	0.488237	2.66e-01	0.22124	Cyp3a41b///Cyp3a41a	cytochrome P450, family 3, subfamily a, polypeptide 41B///cytochrome P450, family 3, subfamily a, polypeptide 41A
1415873_a_at	0.488253	2.66e-01	-0.88102	Actr1a	ARP1 actin-related protein 1A, centractin alpha
1451601_a_at	0.488336	2.66e-01	0.31864	Spns2	spinster homolog 2
1417459_at	0.488341	2.66e-01	0.33481333	Dcpp1	demilune cell and parotid protein 1
1427785_x_at	0.488365	2.66e-01	0.40862	Capn15	calpain 15
AFFX-PheX-M_at	0.488389	2.66e-01	0.18015		
1444223_at	0.488389	2.66e-01	0.20837	Hcrtr2	hypocretin (orexin) receptor 2
1435454_a_at	0.488389	2.66e-01	0.81379667	Helz2	helicase with zinc finger 2, transcriptional coactivator
1427690_a_at	0.488389	2.66e-01	0.23795	Tpte	transmembrane phosphatase with tensin homology
1439301_at	0.488389	2.66e-01	-0.19129333		
1450373_at	0.48839	2.66e-01	0.28809667	LOC100502592///Gm8882///Prb1///Prpmp5	proline-rich proteoglycan 2-like///predicted gene 8882///proline-rich protein BstNI subfamily 1///proline-rich protein MP5
1436354_at	0.488415	2.66e-01	0.22276	Dzip1l	DAZ interacting protein 1-like
1418592_at	0.488431	2.66e-01	1.1184	Dnaja4	DnaJ heat shock protein family (Hsp40) member A4
1441303_at	0.488484	2.66e-01	0.21039667	Gm34292	predicted gene, 34292
1430015_at	0.488502	2.66e-01	0.18257667	Pxt1	peroxisomal, testis specific 1
1431479_at	0.488502	2.66e-01	0.23381333	4921524L21Rik	RIKEN cDNA 4921524L21 gene
1434637_x_at	0.488502	2.66e-01	0.43877	Sin3b	transcriptional regulator, SIN3B (yeast)
1441536_at	0.488507	2.67e-01	0.30393	Hmgcs1	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1
1433990_at	0.488574	2.67e-01	0.21112667	Lhfpl3	lipoma HMGIC fusion partner-like 3
1430411_at	0.488574	2.67e-01	0.30327	6330525I24Rik	RIKEN cDNA 6330525I24 gene
1419344_at	0.488574	2.67e-01	0.207	Tcte1	t-complex-associated testis expressed 1
1417556_at	0.488609	2.67e-01	0.20274	Fabp1	fatty acid binding protein 1, liver
1429585_s_at	0.488625	2.67e-01	-0.44937	Mynn	myoneurin
1421436_at	0.488681	2.67e-01	0.33229667	Grid2	glutamate receptor, ionotropic, delta 2
1418722_at	0.488714	2.67e-01	0.21829667	Ngp	neutrophilic granule protein
1460339_at	0.488714	2.67e-01	-0.77026333	Psma4	proteasome (prosome, macropain) subunit, alpha type 4
1459240_at	0.488714	2.67e-01	0.27107333		
1454064_a_at	0.488714	2.67e-01	1.33463667	Rnf138	ring finger protein 138
1454648_s_at	0.48876	2.67e-01	0.80593	D10Wsu102e	DNA segment, Chr 10, Wayne State University 102, expressed
1434648_a_at	0.48876	2.67e-01	1.47487	Ccm2	cerebral cavernous malformation 2
1432806_at	0.48876	2.67e-01	-0.32442667	9430099H24Rik	RIKEN cDNA 9430099H24 gene
1424003_at	0.488786	2.67e-01	-0.20922667	Pomk	protein-O-mannose kinase
1421964_at	0.488849	2.67e-01	0.16882333	Notch3	notch 3
1449199_at	0.488876	2.67e-01	0.18209333	Muc1	mucin 1, transmembrane
1455105_at	0.488902	2.67e-01	1.04944333	Ptpn12	protein tyrosine phosphatase, non-receptor type 12
1459087_at	0.488902	2.67e-01	0.18284		
1430195_at	0.488903	2.67e-01	-0.36443667	2810043O03Rik	RIKEN cDNA 2810043O03 gene
1429766_at	0.488905	2.67e-01	0.64027667	2810013P06Rik	RIKEN cDNA 2810013P06 gene
1418621_at	0.488937	2.67e-01	-0.2788	Rab2a	RAB2A, member RAS oncogene family
1446254_at	0.488964	2.67e-01	0.24954667		
1442364_at	0.488964	2.67e-01	0.29266	Mapk14	mitogen-activated protein kinase 14
1430057_s_at	0.488964	2.67e-01	-0.19283667	Lrrc57	leucine rich repeat containing 57
1430772_at	0.488964	2.67e-01	0.19156	4932438H23Rik	RIKEN cDNA 4932438H23 gene
1438372_at	0.488972	2.67e-01	0.19879	Myom2	myomesin 2
1441447_at	0.488995	2.67e-01	-0.99185333	Nol4	nucleolar protein 4
1446142_at	0.488998	2.67e-01	0.20582333		
1459486_at	0.489058	2.67e-01	0.24533667	AU022240	expressed sequence AU022240
1447933_at	0.489078	2.67e-01	-0.2705	Kif26a	kinesin family member 26A
1440544_at	0.489092	2.67e-01	0.17661333		
1460161_at	0.489102	2.67e-01	0.23381	D5Ertd422e	DNA segment, Chr 5, ERATO Doi 422, expressed
1431485_at	0.48923	2.67e-01	0.18382	4833447I15Rik	RIKEN cDNA 4833447I15 gene
1435162_at	0.489293	2.67e-01	1.84212	Prkg2	protein kinase, cGMP-dependent, type II
1437337_x_at	0.489346	2.67e-01	-0.29173	Fuk	fucokinase
1446506_at	0.489346	2.67e-01	0.23490667	Frmpd3	FERM and PDZ domain containing 3
1441408_at	0.489346	2.67e-01	0.76643333	AU044856	expressed sequence AU044856
1416489_at	0.489346	2.67e-01	0.62572333	Pi4k2b	phosphatidylinositol 4-kinase type 2 beta
1417917_at	0.489347	2.67e-01	0.19156667	Cnn1	calponin 1
1437988_x_at	0.489481	2.67e-01	0.64890333	1700003E24Rik///BC061195	Gm5941 pseudogene///cDNA sequence BC061195
1447836_x_at	0.489572	2.68e-01	0.30278667	4921525O09Rik	RIKEN cDNA 4921525O09 gene
1428198_at	0.489696	2.68e-01	-0.27832667	Adal	adenosine deaminase-like
1454777_at	0.489707	2.68e-01	0.23639333	Slco2b1	solute carrier organic anion transporter family, member 2b1
1448886_at	0.489716	2.68e-01	0.26611333	Gata3	GATA binding protein 3
1439822_at	0.48976	2.68e-01	0.28518333		
1450113_at	0.48976	2.68e-01	0.42820333	Mpp5	membrane protein, palmitoylated 5 (MAGUK p55 subfamily member 5)
1448022_at	0.48976	2.68e-01	-0.20968		
1429665_at	0.48976	2.68e-01	-0.36734333	Haus6	HAUS augmin-like complex, subunit 6
1435094_at	0.489797	2.68e-01	0.19212333	Kcnj16	potassium inwardly-rectifying channel, subfamily J, member 16
1456581_x_at	0.489803	2.68e-01	0.39263333	Gdi2	guanosine diphosphate (GDP) dissociation inhibitor 2
1431189_a_at	0.489827	2.68e-01	-0.23561667	Fahd2a	fumarylacetoacetate hydrolase domain containing 2A
1455330_at	0.489843	2.68e-01	0.5701	Nol9	nucleolar protein 9
1445050_at	0.489843	2.68e-01	0.45695667	AU015247	expressed sequence AU015247
1436770_x_at	0.489843	2.68e-01	-0.17641667	Psma1	proteasome (prosome, macropain) subunit, alpha type 1
1418424_at	0.489843	2.68e-01	0.43185333	Tnfaip6	tumor necrosis factor alpha induced protein 6
1423756_s_at	0.489843	2.68e-01	0.9639	Igfbp4	insulin-like growth factor binding protein 4
1422105_at	0.489891	2.68e-01	0.20743667	Cd3e	CD3 antigen, epsilon polypeptide
1420151_at	0.489891	2.68e-01	0.26328		
1456982_at	0.489955	2.68e-01	0.25359333	6430562O15Rik	RIKEN cDNA 6430562O15 gene
1423582_at	0.49007	2.68e-01	0.20477667	Dmrt1	doublesex and mab-3 related transcription factor 1
1442221_at	0.490142	2.68e-01	0.22022667		
1456104_at	0.490142	2.68e-01	-1.32898667	Psmd11	proteasome (prosome, macropain) 26S subunit, non-ATPase, 11
1460052_at	0.490142	2.68e-01	0.36296333	Gm19950	predicted gene, 19950
1423607_at	0.490189	2.68e-01	-0.38012333	Lum	lumican
1432613_at	0.490189	2.68e-01	0.27883	Prr15	proline rich 15
1426549_at	0.490196	2.68e-01	0.18879	Mri1	methylthioribose-1-phosphate isomerase 1
1458751_at	0.490196	2.68e-01	-0.28422667		
1417399_at	0.490244	2.68e-01	0.89413	Gas6	growth arrest specific 6
1454472_at	0.490244	2.68e-01	0.33331667	2900092N22Rik	RIKEN cDNA 2900092N22 gene
1420181_at	0.49025	2.68e-01	0.32241667	Gm9112	predicted gene 9112
1441192_at	0.490322	2.68e-01	0.36823667	Scly	selenocysteine lyase
1432343_at	0.490356	2.68e-01	-0.1792	4930419G24Rik	RIKEN cDNA 4930419G24 gene
1443505_at	0.490359	2.68e-01	0.27737		
1444470_x_at	0.490359	2.68e-01	0.28355		
1425648_at	0.490359	2.68e-01	0.28113667	Trim60	tripartite motif-containing 60
1458732_at	0.490359	2.68e-01	0.16893333		
1431625_at	0.490359	2.68e-01	0.20217667	Pde1a	phosphodiesterase 1A, calmodulin-dependent
1442548_at	0.490359	2.68e-01	0.34268333		
1454842_a_at	0.490359	2.68e-01	-0.44391	B3galnt2	UDP-GalNAc:betaGlcNAc beta 1,3-galactosaminyltransferase, polypeptide 2
1429445_at	0.490359	2.68e-01	0.30369333	Efcab3	EF-hand calcium binding domain 3
1457580_at	0.490359	2.68e-01	0.38193333	Chd8	chromodomain helicase DNA binding protein 8
1423335_at	0.490359	2.68e-01	0.47284333	1110004F10Rik	RIKEN cDNA 1110004F10 gene
1422791_at	0.490359	2.68e-01	0.22898	Pafah1b2	platelet-activating factor acetylhydrolase, isoform 1b, subunit 2
1417025_at	0.490359	2.68e-01	0.23186667	H2-Eb1	histocompatibility 2, class II antigen E beta
1439173_at	0.490396	2.68e-01	0.21331333	Hook1	hook microtubule tethering protein 1
1427975_at	0.490423	2.68e-01	0.34328	Rasl10a	RAS-like, family 10, member A
1448385_at	0.490423	2.68e-01	0.3303	Slc15a4	solute carrier family 15, member 4
1434246_at	0.490435	2.69e-01	1.09791667	L3mbtl3	l(3)mbt-like 3 (Drosophila)
1429400_at	0.490435	2.69e-01	0.21181667	Clcn5	chloride channel, voltage-sensitive 5
1430242_at	0.490435	2.69e-01	0.21704667	Rwdd1	RWD domain containing 1
1457522_at	0.490472	2.69e-01	0.25277	Smek1	SMEK homolog 1, suppressor of mek1 (Dictyostelium)
1449600_at	0.490535	2.69e-01	0.16664667	Gm3716	predicted gene 3716
1436835_at	0.490554	2.69e-01	0.19531667	Crk	v-crk avian sarcoma virus CT10 oncogene homolog
1444679_at	0.490566	2.69e-01	-0.18506667		
1424631_a_at	0.490594	2.69e-01	0.26572667	Ighg	Immunoglobulin heavy chain (gamma polypeptide)
1420432_at	0.490611	2.69e-01	0.22293333	Tas1r1	taste receptor, type 1, member 1
1449308_at	0.490675	2.69e-01	-0.31671	C6	complement component 6
